"media_valore","Anno","Mese","Numero_di_Vendite","Periodo"
169.048,2016,"01",210,"2016-01"
144.945135135135,2016,"02",185,"2016-02"
173.476277777778,2016,"03",180,"2016-03"
223.279022556391,2016,"04",133,"2016-04"
169.020930232558,2016,"05",215,"2016-05"
230.207401960784,2016,"06",204,"2016-06"
214.296328502415,2016,"07",207,"2016-07"
220.439333333333,2016,"08",90,"2016-08"
166.058470588235,2016,"09",170,"2016-09"
200.634352941176,2016,"10",170,"2016-10"
189.410566037736,2016,"11",159,"2016-11"
241.26352112676,2016,"12",142,"2016-12"
144.473137254902,2018,"01",51,"2018-01"
152.434615384615,2018,"02",39,"2018-02"
190.615217391304,2018,"03",46,"2018-03"
248.883488372093,2018,"04",43,"2018-04"
158.388775510204,2018,"05",49,"2018-05"
176.204893617021,2018,"06",47,"2018-06"
167.145208333333,2018,"07",48,"2018-07"
115.287058823529,2018,"08",17,"2018-08"
173.219761904762,2018,"09",42,"2018-09"
217.671428571429,2018,"10",35,"2018-10"
184.736538461538,2018,"11",52,"2018-11"
220.090909090909,2018,"12",33,"2018-12"
