"Varianza","Anno","Mese","Numero_di_Vendite","Periodo"
110972.691204257,2016,"01",62,"2016-01"
38351.0435100466,2016,"02",66,"2016-02"
295872.781138519,2016,"03",55,"2016-03"
191570.684792203,2016,"04",60,"2016-04"
196337.278810343,2016,"05",63,"2016-05"
69653.8695388889,2016,"06",73,"2016-06"
160827.842888087,2016,"07",61,"2016-07"
5731.73667285714,2016,"08",21,"2016-08"
35471.3577466949,2016,"09",62,"2016-09"
152986.941006066,2016,"10",61,"2016-10"
390485.049531911,2016,"11",59,"2016-11"
255096.324242831,2016,"12",67,"2016-12"
181979.970995667,2017,"01",54,"2017-01"
43393.8605261279,2017,"02",55,"2017-02"
88570.2054008469,2017,"03",58,"2017-03"
471101.399361996,2017,"04",32,"2017-04"
39083.5122050641,2017,"05",40,"2017-05"
624458.349562561,2017,"06",46,"2017-06"
256962.885998192,2017,"07",60,"2017-07"
13003.6894155263,2017,"08",20,"2017-08"
43505.1029134424,2017,"09",59,"2017-09"
687600.467134253,2017,"10",53,"2017-10"
7355.77151949495,2017,"11",45,"2017-11"
442718.918099512,2017,"12",41,"2017-12"
38217.6561699608,2018,"01",51,"2018-01"
50629.9956360324,2018,"02",39,"2018-02"
142062.611345507,2018,"03",46,"2018-03"
317879.844685161,2018,"04",43,"2018-04"
69215.7165818027,2018,"05",49,"2018-05"
208360.387216836,2018,"06",47,"2018-06"
139695.276144637,2018,"07",48,"2018-07"
7884.58927205882,2018,"08",17,"2018-08"
231756.571460917,2018,"09",42,"2018-09"
272246.003412605,2018,"10",35,"2018-10"
78327.0505054299,2018,"11",52,"2018-11"
214416.386952273,2018,"12",33,"2018-12"
209887.779501449,2019,"01",46,"2019-01"
58695.5622375,2019,"02",33,"2019-02"
88573.3934486803,2019,"03",52,"2019-03"
209881.555421951,2019,"04",41,"2019-04"
246470.71733561,2019,"05",41,"2019-05"
102591.096817719,2019,"06",43,"2019-06"
123837.395210083,2019,"07",47,"2019-07"
298707.347662667,2019,"08",25,"2019-08"
159336.312372534,2019,"09",49,"2019-09"
195923.47288987,2019,"10",56,"2019-10"
218650.987764781,2019,"11",55,"2019-11"
179880.289818538,2019,"12",34,"2019-12"
20652.7359808067,2020,"01",48,"2020-01"
16164.2672292473,2020,"02",31,"2020-02"
33410.441012381,2020,"03",15,"2020-03"
12680.2182185111,2020,"05",71,"2020-05"
234286.611210453,2020,"06",42,"2020-06"
88352.7118989204,2020,"07",39,"2020-07"
228667.813247645,2020,"08",24,"2020-08"
